sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;IMULatAcceleration;IMULgtAcceleration;IMUVerAcceleration
1663764199;975519;1663764199;975543;1663764199;975470;0.153;0.0765;9.6815
1663764200;75748;1663764200;75788;1663764200;75692;0.1275;0.0595;9.6985
1663764200;175506;1663764200;175530;1663764200;175457;0.153;0.0935;9.6815
1663764200;275503;1663764200;275526;1663764200;275456;0.1275;0.0425;9.6305
1663764200;375713;1663764200;375748;1663764200;375668;0.1615;0.0765;9.6645
1663764200;475525;1663764200;475550;1663764200;475476;0.153;0.0935;9.639
1663764200;575545;1663764200;575571;1663764200;575495;0.1955;0.0425;9.6645
1663764200;675758;1663764200;675796;1663764200;675702;0.1615;0.0765;9.639
1663764200;775504;1663764200;775527;1663764200;775455;0.0765;0.1105;9.6815
1663764200;875576;1663764200;875606;1663764200;875511;0.1615;0.0765;9.639
1663764200;975771;1663764200;975806;1663764200;975713;0.1275;0.0935;9.6645
1663764201;75506;1663764201;75531;1663764201;75457;0.1275;0.0425;9.6815
1663764201;175558;1663764201;175588;1663764201;175494;0.1615;0.0935;9.6815
1663764201;275740;1663764201;275780;1663764201;275692;0.1615;0.0595;9.6645
1663764201;375515;1663764201;375539;1663764201;375466;0.1275;0.0765;9.6985
1663764201;475524;1663764201;475547;1663764201;475479;0.153;0.0595;9.6305
1663764201;575779;1663764201;575820;1663764201;575717;0.1615;0.0595;9.6985
1663764201;675515;1663764201;675540;1663764201;675466;0.1615;0.0935;9.639
1663764201;775544;1663764201;775568;1663764201;775495;0.1275;0.0765;9.6305
1663764201;875800;1663764201;875830;1663764201;875733;0.153;0.0595;9.6645
1663764201;975517;1663764201;975541;1663764201;975468;0.1615;0.0765;9.6305
1663764202;75573;1663764202;75597;1663764202;75523;0.2125;0.0935;9.6985
1663764202;175790;1663764202;175817;1663764202;175731;0.153;0.0425;9.6305
1663764202;275487;1663764202;275511;1663764202;275438;0.1785;0.0935;9.6985
1663764202;375536;1663764202;375559;1663764202;375491;0.1275;0.1275;9.6645
1663764202;475766;1663764202;475799;1663764202;475709;0.1615;0.0595;9.6985
1663764202;575554;1663764202;575578;1663764202;575504;0.153;0.0595;9.6645
1663764202;675560;1663764202;675590;1663764202;675510;0.1615;0.0425;9.6645
1663764202;775801;1663764202;775827;1663764202;775741;0.1275;0.0595;9.6985
1663764202;875561;1663764202;875596;1663764202;875516;0.153;0.0935;9.6305
1663764202;975639;1663764202;975669;1663764202;975575;0.153;0.0595;9.6645
1663764203;75820;1663764203;75845;1663764203;75763;0.1275;0.0595;9.639
1663764203;175577;1663764203;175602;1663764203;175529;0.1275;0.0595;9.639
1663764203;275602;1663764203;275626;1663764203;275553;0.1615;0.0935;9.639
1663764203;375806;1663764203;375835;1663764203;375744;0.1615;0.0935;9.6645
1663764203;475583;1663764203;475607;1663764203;475533;0.153;0.0765;9.6815
1663764203;575657;1663764203;575686;1663764203;575592;0.1615;0.0765;9.6815
1663764203;675824;1663764203;675849;1663764203;675767;0.1785;0.0935;9.6985
1663764203;775560;1663764203;775584;1663764203;775512;0.153;0.0595;9.6985
1663764203;875586;1663764203;875632;1663764203;875518;0.1105;0.0935;9.639
1663764203;975835;1663764203;975861;1663764203;975772;0.153;0.0765;9.6645
1663764204;75615;1663764204;75640;1663764204;75567;0.1785;0.0765;9.639
1663764204;175599;1663764204;175624;1663764204;175550;0.1615;0.0595;9.6645
1663764204;275827;1663764204;275852;1663764204;275771;0.1275;0.0425;9.639
1663764204;375575;1663764204;375600;1663764204;375526;0.153;0.0935;9.6305
1663764204;475632;1663764204;475656;1663764204;475582;0.1105;0.0595;9.6645
1663764204;575835;1663764204;575859;1663764204;575779;0.1615;0.0595;9.6645
1663764204;675576;1663764204;675624;1663764204;675508;0.1785;0.0935;9.639
1663764204;775586;1663764204;775609;1663764204;775535;0.153;0.0595;9.639
1663764204;875837;1663764204;875865;1663764204;875781;0.153;0.1105;9.6985
1663764204;975564;1663764204;975588;1663764204;975521;0.1785;0.0595;9.6645
1663764205;75621;1663764205;75647;1663764205;75572;0.153;0.0595;9.6985
1663764205;175838;1663764205;175862;1663764205;175784;0.153;0.0765;9.6645
1663764205;275616;1663764205;275640;1663764205;275567;0.1785;0.0595;9.6645
1663764205;375586;1663764205;375610;1663764205;375541;0.153;0.0765;9.6645
1663764205;475843;1663764205;475868;1663764205;475789;0.1105;0.0935;9.6305
1663764205;575612;1663764205;575636;1663764205;575563;0.1275;0.0595;9.6645
1663764205;675713;1663764205;675751;1663764205;675650;0.1615;0.0595;9.6645
1663764205;775841;1663764205;775865;1663764205;775789;0.1615;0.0765;9.6985
1663764205;875618;1663764205;875642;1663764205;875569;0.1275;0.0765;9.6645
1663764205;975641;1663764205;975665;1663764205;975592;0.1275;0.0765;9.6645
1663764206;75841;1663764206;75865;1663764206;75790;0.153;0.0765;9.6985
1663764206;175621;1663764206;175645;1663764206;175572;0.1955;0.0765;9.6985
1663764206;275699;1663764206;275731;1663764206;275636;0.1955;0.0765;9.7155
1663764206;375854;1663764206;375879;1663764206;375805;0.1275;0.0765;9.6645
1663764206;475634;1663764206;475658;1663764206;475589;0.1615;0.0935;9.6815
1663764206;575655;1663764206;575686;1663764206;575604;0.1275;0.0595;9.6985
1663764206;675856;1663764206;675888;1663764206;675807;0.153;0.0595;9.6645
1663764206;775636;1663764206;775661;1663764206;775587;0.153;0.0935;9.6305
1663764206;875680;1663764206;875706;1663764206;875626;0.1275;0.0425;9.6305
1663764206;975862;1663764206;975887;1663764206;975812;0.1105;0.0935;9.639
1663764207;75661;1663764207;75684;1663764207;75614;0.153;0.0765;9.6645
1663764207;175692;1663764207;175717;1663764207;175643;0.1785;0.0765;9.639
1663764207;275869;1663764207;275894;1663764207;275815;0.1615;0.0935;9.6985
1663764207;375676;1663764207;375699;1663764207;375626;0.1785;0.0595;9.6645
1663764207;475659;1663764207;475683;1663764207;475609;0.1615;0.0765;9.7155
1663764207;575875;1663764207;575900;1663764207;575827;0.153;0.0765;9.6645
1663764207;675679;1663764207;675704;1663764207;675630;0.153;0.0765;9.6815
1663764207;775751;1663764207;775796;1663764207;775681;0.153;0.0765;9.6305
1663764207;875881;1663764207;875905;1663764207;875829;0.1615;0.0255;9.6645
1663764207;975655;1663764207;975679;1663764207;975611;0.1785;0.0425;9.6815
1663764208;75737;1663764208;75778;1663764208;75685;0.153;0.0595;9.6305
1663764208;175904;1663764208;175928;1663764208;175858;0.0935;0.0595;9.6985
1663764208;275675;1663764208;275699;1663764208;275622;0.153;0.0765;9.6305
1663764208;375656;1663764208;375680;1663764208;375603;0.1615;0.0935;9.6815
1663764208;475929;1663764208;475953;1663764208;475877;0.1785;0.0935;9.6815
1663764208;575665;1663764208;575689;1663764208;575617;0.153;0.0935;9.6645
1663764208;675711;1663764208;675745;1663764208;675662;0.1785;0.0765;9.6645
1663764208;775935;1663764208;775960;1663764208;775886;0.1785;0.0765;9.6985
1663764208;875716;1663764208;875750;1663764208;875666;0.153;0.0935;9.6645
1663764208;975674;1663764208;975698;1663764208;975625;0.1615;0.0935;9.639
1663764209;75936;1663764209;75961;1663764209;75887;0.153;0.0595;9.6815
1663764209;175684;1663764209;175708;1663764209;175635;0.1615;0.0255;9.6815
1663764209;275757;1663764209;275795;1663764209;275699;0.1275;0.0595;9.639
1663764209;375924;1663764209;375949;1663764209;375878;0.0935;0.1275;9.639
1663764209;475695;1663764209;475719;1663764209;475646;0.1955;0.0765;9.6815
1663764209;575733;1663764209;575773;1663764209;575681;0.153;0.1275;9.6645
1663764209;675949;1663764209;675974;1663764209;675899;0.1105;0.0935;9.6815
1663764209;775704;1663764209;775729;1663764209;775655;0.1275;0.0935;9.6815
1663764209;875744;1663764209;875789;1663764209;875687;0.1615;0.0935;9.6985
1663764209;975956;1663764209;975980;1663764209;975905;0.1785;0.0765;9.6645
1663764210;75712;1663764210;75764;1663764210;75641;0.1955;0.0765;9.6815
1663764210;175741;1663764210;175773;1663764210;175683;0.1615;0.1275;9.639
1663764210;275964;1663764210;275988;1663764210;275914;0.1615;0.0765;9.639
1663764210;375744;1663764210;375785;1663764210;375688;0.153;0.0765;9.639
1663764210;475814;1663764210;475839;1663764210;475754;0.153;0.0595;9.639
1663764210;575968;1663764210;575993;1663764210;575918;0.153;0.0765;9.6985
1663764210;675756;1663764210;675794;1663764210;675701;0.1785;0.0765;9.6305
1663764210;775776;1663764210;775809;1663764210;775718;0.153;0.0935;9.7155
1663764210;875950;1663764210;875975;1663764210;875903;0.1785;0.0935;9.6815
1663764210;975724;1663764210;975763;1663764210;975675;0.1785;0.0935;9.6985
1663764211;75832;1663764211;75871;1663764211;75760;0.1615;0.0595;9.6985
1663764211;175982;1663764211;176006;1663764211;175933;0.1615;0.0595;9.6815
1663764211;275790;1663764211;275827;1663764211;275729;0.1275;0.0255;9.6815
1663764211;375734;1663764211;375775;1663764211;375681;0.1275;0.0425;9.6305
1663764211;475988;1663764211;476012;1663764211;475938;0.1105;0.0765;9.6815
1663764211;575743;1663764211;575784;1663764211;575688;0.1785;0.0595;9.6135
1663764211;675809;1663764211;675835;1663764211;675749;0.1275;0.0425;9.639
1663764211;775981;1663764211;776006;1663764211;775931;0.153;0.0935;9.6305
1663764211;875757;1663764211;875794;1663764211;875699;0.153;0.0595;9.6985
