sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;IMULatAcceleration;IMULgtAcceleration;IMUVerAcceleration
1663764971;793573;1663764971;793598;1663764971;793523;0.1955;-0.0255;9.6815
1663764971;893602;1663764971;893626;1663764971;893553;0.1785;-0.0085;9.6645
1663764971;993839;1663764971;993862;1663764971;993790;0.1615;0;9.6645
1663764972;93671;1663764972;93695;1663764972;93622;0.1955;-0.0085;9.639
1663764972;193572;1663764972;193596;1663764972;193529;0.153;-0.0085;9.6305
1663764972;293860;1663764972;293885;1663764972;293811;0.1955;-0.0085;9.6815
1663764972;393613;1663764972;393637;1663764972;393565;0.1615;0;9.6645
1663764972;493642;1663764972;493666;1663764972;493593;0.1785;-0.0085;9.6135
1663764972;593834;1663764972;593858;1663764972;593790;0.1785;-0.0085;9.6645
1663764972;693647;1663764972;693671;1663764972;693598;0.1615;-0.0085;9.6645
1663764972;793589;1663764972;793614;1663764972;793540;0.2295;-0.0085;9.6985
1663764972;893898;1663764972;893922;1663764972;893849;0.1955;-0.0085;9.6815
1663764972;993628;1663764972;993651;1663764972;993579;0.1955;-0.0595;9.6645
1663764973;93641;1663764973;93665;1663764973;93597;0.153;-0.0085;9.6305
1663764973;193866;1663764973;193891;1663764973;193817;0.1615;-0.0425;9.6815
1663764973;293687;1663764973;293711;1663764973;293638;0.1785;0.0085;9.6305
1663764973;393636;1663764973;393660;1663764973;393588;0.153;-0.0085;9.639
1663764973;493884;1663764973;493909;1663764973;493836;0.153;-0.0255;9.6815
1663764973;593644;1663764973;593669;1663764973;593595;0.1785;-0.0085;9.6645
1663764973;693699;1663764973;693728;1663764973;693635;0.1615;-0.0085;9.7155
1663764973;793896;1663764973;793920;1663764973;793848;0.1955;-0.0255;9.639
1663764973;893681;1663764973;893705;1663764973;893632;0.1955;-0.0085;9.6985
1663764973;993651;1663764973;993676;1663764973;993601;0.1955;0.0085;9.6645
1663764974;93912;1663764974;93936;1663764974;93863;0.1955;-0.0085;9.6985
1663764974;193628;1663764974;193652;1663764974;193584;0.1785;-0.0255;9.6305
1663764974;293891;1663764974;293925;1663764974;293823;0.1615;-0.0085;9.6645
1663764974;394124;1663764974;394149;1663764974;394069;0.1955;0.0085;9.639
1663764974;493888;1663764974;493912;1663764974;493838;0.1955;-0.0085;9.5965
1663764974;593815;1663764974;593838;1663764974;593771;0.1955;-0.0085;9.6815
1663764974;694155;1663764974;694179;1663764974;694099;0.1615;-0.0085;9.6135
1663764974;793829;1663764974;793853;1663764974;793778;0.1615;-0.0085;9.6645
1663764974;893881;1663764974;893905;1663764974;893832;0.1785;-0.0085;9.6305
1663764974;994144;1663764974;994169;1663764974;994095;0.1955;-0.0085;9.6815
1663764975;93895;1663764975;93951;1663764975;93822;0.2295;0;9.6645
1663764975;193909;1663764975;193939;1663764975;193846;0.1955;-0.0425;9.6645
1663764975;293958;1663764975;293982;1663764975;293910;0.1955;0;9.6815
1663764975;393675;1663764975;393698;1663764975;393627;0.1785;-0.0085;9.6645
1663764975;493700;1663764975;493725;1663764975;493650;0.2125;-0.0085;9.6645
1663764975;593935;1663764975;593958;1663764975;593887;0.1955;-0.0085;9.6645
1663764975;693726;1663764975;693750;1663764975;693678;0.1615;-0.0085;9.6645
1663764975;793716;1663764975;793740;1663764975;793656;0.153;0;9.6305
1663764975;893938;1663764975;893963;1663764975;893890;0.153;0.0595;9.6305
1663764975;993692;1663764975;993716;1663764975;993643;0.1955;0.153;9.639
1663764976;93743;1663764976;93773;1663764976;93680;0.1615;0.4675;9.639
1663764976;193926;1663764976;193950;1663764976;193882;0.1955;0.612;9.6815
1663764976;293722;1663764976;293746;1663764976;293672;0.1615;0.629;9.6985
1663764976;393697;1663764976;393721;1663764976;393648;0.1785;0.7055;9.6645
1663764976;493968;1663764976;493992;1663764976;493919;0.1275;0.765;9.724
1663764976;593699;1663764976;593723;1663764976;593649;0.153;0.986;9.639
1663764976;693757;1663764976;693781;1663764976;693708;0.1955;1.173;9.6645
1663764976;793953;1663764976;793977;1663764976;793904;0.1615;1.241;9.6135
1663764976;893811;1663764976;893835;1663764976;893751;0.1105;1.462;9.639
1663764976;993789;1663764976;993819;1663764976;993724;0.153;1.513;9.639
1663764977;93955;1663764977;93980;1663764977;93907;0.0595;1.513;9.7665
1663764977;193709;1663764977;193734;1663764977;193663;0.0255;1.683;9.724
1663764977;293791;1663764977;293815;1663764977;293742;0.0595;1.87;9.6645
1663764977;393970;1663764977;393995;1663764977;393922;0.1105;1.972;9.6645
1663764977;493764;1663764977;493788;1663764977;493715;0.0935;2.0485;9.6815
1663764977;593798;1663764977;593828;1663764977;593734;0.1615;2.0485;9.6305
1663764977;694011;1663764977;694035;1663764977;693962;0.2125;2.091;9.724
1663764977;793760;1663764977;793784;1663764977;793711;0.2295;2.176;9.7495
1663764977;893774;1663764977;893798;1663764977;893725;0.2465;2.142;9.6985
1663764977;994000;1663764977;994024;1663764977;993940;0.1955;2.363;9.9025
1663764978;93815;1663764978;93840;1663764978;93767;0.2635;2.3545;9.7665
1663764978;193809;1663764978;193839;1663764978;193746;-0.0765;2.38;9.4605
1663764978;294012;1663764978;294038;1663764978;293962;0.0255;2.329;9.2395
1663764978;393769;1663764978;393793;1663764978;393720;-0.0595;2.312;9.5115
1663764978;493822;1663764978;493847;1663764978;493773;-0.1615;2.142;9.9025
1663764978;594001;1663764978;594026;1663764978;593952;0.0085;1.972;9.9875
1663764978;693796;1663764978;693820;1663764978;693747;0.459;1.7255;9.8515
1663764978;793820;1663764978;793851;1663764978;793751;0.697;1.632;9.6645
1663764978;894030;1663764978;894054;1663764978;893981;0.4845;1.666;9.7495
1663764978;993806;1663764978;993830;1663764978;993754;-0.0085;1.938;9.571
1663764979;93784;1663764979;93808;1663764979;93740;-0.3655;2.1165;9.5285
1663764979;194032;1663764979;194060;1663764979;193972;-0.0765;2.176;9.9875
1663764979;293881;1663764979;293905;1663764979;293832;0.1785;2.074;9.809
1663764979;393796;1663764979;393820;1663764979;393746;0.2465;2.176;9.5285
1663764979;494023;1663764979;494047;1663764979;493980;0.2295;2.159;9.4095
1663764979;593819;1663764979;593843;1663764979;593770;-0.2125;1.785;9.8515
1663764979;693889;1663764979;693919;1663764979;693825;-0.0255;1.4875;9.8855
1663764979;794026;1663764979;794050;1663764979;793978;0.3995;1.258;9.7665
1663764979;893849;1663764979;893874;1663764979;893800;0.2465;0.9605;9.6645
1663764979;993860;1663764979;993890;1663764979;993796;0.0595;0.7055;9.9195
1663764980;94066;1663764980;94091;1663764980;94018;0.0425;0.5865;9.7495
1663764980;193803;1663764980;193826;1663764980;193760;0.1615;0.6375;9.6645
1663764980;293840;1663764980;293865;1663764980;293790;0.2805;0.5695;9.4435
1663764980;394030;1663764980;394054;1663764980;393986;0.0425;0.459;9.7665
1663764980;493874;1663764980;493898;1663764980;493826;0.1615;0.4335;9.8685
1663764980;593883;1663764980;593912;1663764980;593819;0.3825;0.459;9.8175
1663764980;694067;1663764980;694093;1663764980;694018;0.1275;0.4335;9.6815
1663764980;793856;1663764980;793879;1663764980;793807;0.0085;0.544;9.639
1663764980;893858;1663764980;893888;1663764980;893807;0.153;0.4675;9.571
1663764980;994062;1663764980;994096;1663764980;994010;0.2805;0.459;9.4775
1663764981;93871;1663764981;93895;1663764981;93823;0.3145;0.391;9.7495
1663764981;193844;1663764981;193868;1663764981;193795;-0.0595;0.5015;9.962
1663764981;294067;1663764981;294101;1663764981;294021;0.1105;0.4845;9.6815
1663764981;393858;1663764981;393882;1663764981;393808;0.0935;0.4845;9.486
1663764981;493910;1663764981;493939;1663764981;493844;0;0.459;9.5115
1663764981;594078;1663764981;594108;1663764981;594028;-0.0085;0.5015;9.8855
1663764981;693916;1663764981;693941;1663764981;693866;0.153;0.459;9.5455
1663764981;793887;1663764981;793911;1663764981;793839;0.1955;0.4165;9.571
1663764981;894074;1663764981;894098;1663764981;894030;-0.1785;0.4845;9.9195
1663764981;993857;1663764981;993882;1663764981;993808;0.1785;0.5185;9.5285
1663764982;93949;1663764982;93979;1663764982;93885;0.306;0.4165;9.724
1663764982;194104;1663764982;194128;1663764982;194055;0.1785;0.5015;9.7155
1663764982;293880;1663764982;293916;1663764982;293823;0.0935;0.4335;9.8685
1663764982;393877;1663764982;393901;1663764982;393828;0.2295;0.5185;9.571
1663764982;494113;1663764982;494137;1663764982;494064;0.0765;0.4845;9.571
1663764982;593910;1663764982;593934;1663764982;593860;-0.3145;0.3995;9.8175
1663764982;693894;1663764982;693918;1663764982;693849;0.0425;0.4165;9.724
1663764982;794111;1663764982;794135;1663764982;794062;-0.1105;0.3655;9.8515
1663764982;893920;1663764982;893945;1663764982;893871;-0.306;0.3485;9.4775
1663764982;993895;1663764982;993930;1663764982;993846;-0.3485;0.459;9.7155
1663764983;94146;1663764983;94171;1663764983;94097;-0.4845;0.459;9.5455
1663764983;193900;1663764983;193924;1663764983;193857;-0.7395;0.3485;9.571
1663764983;293974;1663764983;293997;1663764983;293925;-0.986;0.4335;9.6135
1663764983;394129;1663764983;394153;1663764983;394081;-0.4675;0.391;9.7835
1663764983;493946;1663764983;493970;1663764983;493896;-1.0455;0.459;9.7665
1663764983;593919;1663764983;593943;1663764983;593869;-1.1815;0.2465;9.962
1663764983;694150;1663764983;694174;1663764983;694101;-0.697;0.3145;9.7665
1663764983;793911;1663764983;793936;1663764983;793861;-0.833;0.2805;9.724
1663764983;893955;1663764983;893985;1663764983;893892;-1.292;0.1785;9.6305
1663764983;994145;1663764983;994169;1663764983;994097;-0.697;0.2635;9.8515
1663764984;93986;1663764984;94010;1663764984;93937;-0.5355;0.1955;9.809
1663764984;193937;1663764984;193961;1663764984;193887;-0.8075;0.1955;9.724
1663764984;294171;1663764984;294208;1663764984;294118;-0.3485;0.306;9.8175
1663764984;393938;1663764984;393962;1663764984;393889;-0.5695;0.3655;9.6815
1663764984;493974;1663764984;493998;1663764984;493925;-0.1955;0.3995;9.5115
1663764984;594155;1663764984;594179;1663764984;594106;0.0425;0.306;9.6645
1663764984;693946;1663764984;693970;1663764984;693897;-0.2295;0.4165;9.8175
1663764984;793954;1663764984;793978;1663764984;793905;-0.0425;0.3145;9.6815
1663764984;894194;1663764984;894218;1663764984;894145;0.0255;0.4335;9.6305
1663764984;993935;1663764984;993959;1663764984;993887;0.0085;0.306;9.6815
1663764985;94033;1663764985;94062;1663764985;93969;0.0935;0.2805;9.9195
1663764985;194177;1663764985;194202;1663764985;194128;0.3315;0.1615;9.809
1663764985;294015;1663764985;294040;1663764985;293966;0.2125;0.153;9.724
1663764985;394010;1663764985;394039;1663764985;393947;0.5525;0.1955;9.6985
1663764985;494187;1663764985;494210;1663764985;494138;0.4165;0.0595;9.8345
1663764985;593948;1663764985;593972;1663764985;593899;0.5695;0.1105;9.4605
1663764985;694019;1663764985;694049;1663764985;693955;0.8075;0.1105;9.6985
1663764985;794190;1663764985;794214;1663764985;794141;0.8585;0.0595;9.7835
1663764985;893954;1663764985;893978;1663764985;893907;0.7905;0.1105;9.5285
1663764985;994032;1663764985;994062;1663764985;993968;1.1815;0.0255;9.5455
1663764986;94227;1663764986;94251;1663764986;94178;0.9435;0.0765;9.6815
1663764986;193986;1663764986;194010;1663764986;193936;1.224;0.0765;9.6135
1663764986;294003;1663764986;294033;1663764986;293940;1.309;-0.0255;9.5625
1663764986;394218;1663764986;394243;1663764986;394169;1.2665;0.0425;9.6985
1663764986;494099;1663764986;494128;1663764986;494036;1.224;0.0255;9.5455
1663764986;593987;1663764986;594011;1663764986;593938;1.36;-0.0085;9.6645
1663764986;694226;1663764986;694250;1663764986;694177;1.139;0.0595;9.4775
1663764986;794004;1663764986;794029;1663764986;793956;1.1135;-0.0595;9.418
1663764986;894023;1663764986;894070;1663764986;893972;1.1985;0;9.5455
1663764986;994236;1663764986;994260;1663764986;994187;1.0285;0.0085;9.7155
1663764987;94002;1663764987;94025;1663764987;93955;0.9265;-0.0255;9.6645
1663764987;194042;1663764987;194072;1663764987;193979;0.9265;0;9.4775
1663764987;294250;1663764987;294275;1663764987;294195;0.5015;0.0255;9.6305
1663764987;394037;1663764987;394061;1663764987;393984;0.0085;-0.0425;9.7665
1663764987;494074;1663764987;494103;1663764987;494009;0.3315;0.0595;9.7155
1663764987;594238;1663764987;594263;1663764987;594189;0.306;0.1275;9.7665
1663764987;694015;1663764987;694039;1663764987;693971;0.1105;0.0595;9.7155
1663764987;794034;1663764987;794058;1663764987;793985;-0.0085;0.0085;9.7835
1663764987;894275;1663764987;894300;1663764987;894227;0.2295;0;9.9365
1663764987;994037;1663764987;994061;1663764987;993988;0.3995;-0.0425;9.6815
1663764988;94032;1663764988;94055;1663764988;93988;0.306;0.0595;9.5115
1663764988;194266;1663764988;194290;1663764988;194218;0.1105;-0.0085;9.8515
1663764988;294076;1663764988;294100;1663764988;294026;0.2125;0.0085;9.724
1663764988;394050;1663764988;394074;1663764988;394001;0.0595;0.0595;9.4435
1663764988;494295;1663764988;494319;1663764988;494245;-0.0085;0.2805;9.0015
1663764988;594020;1663764988;594044;1663764988;593972;-0.1275;-0.3485;9.7155
1663764988;694075;1663764988;694099;1663764988;694025;0.0085;-0.1275;10.0045
1663764988;794284;1663764988;794308;1663764988;794235;-0.0765;0.0425;9.3925
1663764988;894092;1663764988;894116;1663764988;894043;0.4165;0.4675;8.9335
1663764988;994020;1663764988;994044;1663764988;993971;-0.3995;0.2295;9.9195
1663764989;94271;1663764989;94295;1663764989;94227;0.3145;-0.1785;9.9025
1663764989;194065;1663764989;194088;1663764989;194017;0.1955;0.1275;9.9365
1663764989;294099;1663764989;294122;1663764989;294054;0.1105;0.0255;9.8685
1663764989;394297;1663764989;394321;1663764989;394247;0.0595;0.0935;9.3925
1663764989;494077;1663764989;494101;1663764989;494032;0.0595;0.0935;9.2905
1663764989;594073;1663764989;594097;1663764989;594025;0.1105;-0.0255;9.5965
1663764989;694332;1663764989;694356;1663764989;694283;0.0425;-0.0085;9.8515
1663764989;794070;1663764989;794094;1663764989;794019;0.1615;0.1105;9.7155
1663764989;894100;1663764989;894124;1663764989;894050;0;0.0255;9.5455
1663764989;994288;1663764989;994319;1663764989;994244;-0.0085;0.1105;9.5625
1663764990;94129;1663764990;94181;1663764990;94060;0.0425;0;9.6305
1663764990;194098;1663764990;194123;1663764990;194049;0.0765;0.0425;9.8175
1663764990;294326;1663764990;294350;1663764990;294277;0;0.0595;9.7155
1663764990;394092;1663764990;394116;1663764990;394036;0.153;0.0255;9.6645
1663764990;494164;1663764990;494194;1663764990;494101;0.0085;0;9.5115
1663764990;594311;1663764990;594336;1663764990;594262;0;0.0425;9.6645
1663764990;694124;1663764990;694148;1663764990;694074;0.0425;0.0255;9.5455
1663764990;794101;1663764990;794125;1663764990;794052;0.2125;0.0085;9.6135
1663764990;894367;1663764990;894391;1663764990;894318;-0.0255;0.0425;9.571
1663764990;994102;1663764990;994126;1663764990;994053;0.0935;0;9.5455
1663764991;94121;1663764991;94145;1663764991;94072;0.1785;0.0425;9.6305
1663764991;194342;1663764991;194366;1663764991;194293;0.1105;0.0595;9.5965
1663764991;294181;1663764991;294205;1663764991;294135;0.0255;-0.0085;9.6135
1663764991;394122;1663764991;394145;1663764991;394073;0.2465;0.0595;9.6985
1663764991;494359;1663764991;494384;1663764991;494311;0.1785;0.0425;9.7835
1663764991;594130;1663764991;594155;1663764991;594081;0.0765;0.0425;9.6985
1663764991;694161;1663764991;694184;1663764991;694112;0.1615;0.0085;9.571
1663764991;794339;1663764991;794363;1663764991;794294;0.1615;-0.0085;9.6135
1663764991;894130;1663764991;894154;1663764991;894080;0.0595;0.0255;9.6645
1663764991;994095;1663764991;994120;1663764991;994046;0.0595;-0.0765;9.9365
1663764992;94625;1663764992;94649;1663764992;94577;-0.0765;0.0425;9.6985
1663764992;194129;1663764992;194154;1663764992;194080;-0.1275;0.0255;9.6135
1663764992;294195;1663764992;294225;1663764992;294130;-0.1785;-0.0595;9.5115
1663764992;394361;1663764992;394384;1663764992;394312;-0.3655;-0.0425;9.639
1663764992;494172;1663764992;494197;1663764992;494123;-0.4845;0;9.6815
1663764992;594116;1663764992;594140;1663764992;594072;-0.5695;-0.0935;9.7495
1663764992;694384;1663764992;694408;1663764992;694335;-0.9605;-0.0935;9.7665
1663764992;794153;1663764992;794177;1663764992;794104;-1.36;-0.1785;9.6135
1663764992;894171;1663764992;894195;1663764992;894122;-1.598;-0.1955;9.6135
1663764992;994387;1663764992;994411;1663764992;994338;-1.7;-0.4675;9.6305
1663764993;94176;1663764993;94200;1663764993;94128;-1.887;-0.544;9.4095
1663764993;194202;1663764993;194232;1663764993;194139;-1.972;-0.782;9.5965
1663764993;294413;1663764993;294437;1663764993;294365;-1.904;-0.833;9.8175
1663764993;394179;1663764993;394208;1663764993;394129;-1.7085;-0.833;9.724
1663764993;494193;1663764993;494217;1663764993;494145;-2.0145;-0.85;9.4775
1663764993;594385;1663764993;594409;1663764993;594336;-1.989;-0.8075;9.2225
1663764993;694243;1663764993;694267;1663764993;694193;-1.836;-0.8585;9.6815
1663764993;794183;1663764993;794206;1663764993;794133;-1.53;-0.935;9.7495
1663764993;894421;1663764993;894446;1663764993;894373;-1.462;-0.833;9.7665
1663764993;994185;1663764993;994210;1663764993;994137;-1.5555;-0.782;9.6135
1663764994;94186;1663764994;94210;1663764994;94141;-1.4875;-0.8585;9.4435
1663764994;194421;1663764994;194445;1663764994;194373;-1.139;-0.935;9.4435
1663764994;294207;1663764994;294231;1663764994;294158;-0.7055;-0.8925;9.5625
1663764994;394195;1663764994;394219;1663764994;394146;-0.3995;-0.918;9.724
1663764994;494439;1663764994;494463;1663764994;494396;-0.0765;-1.0285;9.7835
1663764994;594216;1663764994;594240;1663764994;594167;0.1275;-1.003;9.7665
1663764994;694254;1663764994;694284;1663764994;694189;0.4335;-1.02;9.5625
1663764994;794435;1663764994;794460;1663764994;794386;0.9605;-1.02;9.5115
1663764994;894235;1663764994;894258;1663764994;894182;1.1815;-1.156;9.571
1663764994;994223;1663764994;994247;1663764994;994173;1.513;-1.0285;9.5115
1663764995;94427;1663764995;94451;1663764995;94383;1.921;-1.0965;9.6305
1663764995;194207;1663764995;194232;1663764995;194153;2.346;-1.02;9.7665
1663764995;294275;1663764995;294305;1663764995;294211;2.652;-0.782;9.7155
1663764995;394456;1663764995;394480;1663764995;394405;3.077;-0.833;9.809
1663764995;494237;1663764995;494261;1663764995;494189;3.3235;-0.85;9.5625
1663764995;594231;1663764995;594255;1663764995;594182;3.536;-0.986;9.5625
1663764995;694486;1663764995;694510;1663764995;694437;3.74;-0.8755;9.5115
1663764995;794206;1663764995;794230;1663764995;794155;3.8505;-0.9605;9.5625
1663764995;894257;1663764995;894281;1663764995;894208;3.961;-1.071;9.6135
1663764995;994466;1663764995;994490;1663764995;994417;4.063;-1.0965;9.6305
1663764996;94296;1663764996;94321;1663764996;94250;4.063;-1.224;9.571
1663764996;194278;1663764996;194307;1663764996;194215;4.267;-1.2665;9.5455
1663764996;294499;1663764996;294524;1663764996;294444;4.4795;-1.445;9.4435
1663764996;394251;1663764996;394276;1663764996;394202;4.7005;-1.683;9.4435
1663764996;494328;1663764996;494357;1663764996;494265;4.59;-1.615;9.5115
1663764996;594475;1663764996;594509;1663764996;594420;4.5815;-1.598;9.5625
1663764996;694263;1663764996;694287;1663764996;694213;4.4965;-1.7;9.4605
1663764996;794253;1663764996;794277;1663764996;794204;3.961;-1.3345;9.3245
1663764996;894530;1663764996;894555;1663764996;894482;3.9355;-1.1815;9.4775
1663764996;994256;1663764996;994280;1663764996;994208;3.7315;-1.241;9.5965
1663764997;94285;1663764997;94315;1663764997;94234;3.502;-1.309;9.5115
1663764997;194501;1663764997;194525;1663764997;194449;3.451;-1.1135;9.5115
1663764997;294312;1663764997;294336;1663764997;294263;3.213;-1.1135;9.4605
1663764997;394283;1663764997;394307;1663764997;394233;3.264;-1.0965;9.5455
1663764997;494524;1663764997;494548;1663764997;494475;3.281;-1.173;9.6135
1663764997;594285;1663764997;594314;1663764997;594236;3.2555;-1.071;9.6135
1663764997;694337;1663764997;694361;1663764997;694288;3.077;-1.0965;9.4775
1663764997;794522;1663764997;794546;1663764997;794473;2.924;-1.071;9.4775
1663764997;894307;1663764997;894331;1663764997;894258;3.026;-1.003;9.571
1663764997;994331;1663764997;994360;1663764997;994268;2.7965;-1.003;9.6135
